metin,kategori,zorluk,kaynak
Sağlık harcamalarınızı bütçenizi zorlamadan karşılamak için 250.000 TL'ye kadar bireysel finansman kullanabilirsiniz. 24 aya kadar vade seçenekleri sunulan ürüne internet bankacılığından ön başvuru yapılabilir.,ihtiyac_finansmani,kolay,synthetic
"Çocuğunuzun okul, kurs ve eğitim masrafları için 75.000 TL'den 300.000 TL'ye kadar ihtiyaç finansmanı seçenekleri sunulmaktadır. 12 ve 24 aylık vadelerde farklı kâr payı oranlarından yararlanabilirsiniz. Başvurular 15 Ağustos 2026'dan itibaren alınacaktır.",ihtiyac_finansmani,kolay,synthetic
Yeni mobilyalarınızı ve eviniz için gerekli beyaz eşyaları almak artık daha kolay. 180.000 TL'ye kadar finansman desteği 3 aydan 24 aya kadar farklı vade seçenekleriyle sunulmaktadır. Başvurunuzu mobil kanaldan gerçekleştirebilirsiniz.,ihtiyac_finansmani,kolay,synthetic
"Evinizin mutfak veya banyo yenilemesi için 500.000 TL'ye kadar ihtiyaç finansmanı kullanabilirsiniz. %2,35 kâr payı oranıyla 36 aya kadar ödeme imkânı bulunan kampanya 30 Kasım 2026 tarihine kadar devam edecektir.",ihtiyac_finansmani,kolay,synthetic
"Üniversite öğrenim ücreti, yabancı dil kursu veya sertifika programı gibi eğitim harcamalarınız için bütçenize uygun bir ödeme planı oluşturabilirsiniz. 25.000 TL ile 200.000 TL arasındaki talepler 6, 12 veya 18 ay vadeyle değerlendirilmektedir. Ön başvurular internet şubesinden alınmaktadır.",ihtiyac_finansmani,orta,synthetic
"Evinizde uzun süredir ertelediğiniz boya, parke ve tesisat yenileme işlemlerini tek seferde yaptırabilirsiniz. 350.000 TL'ye kadar sağlanan finansman için 36 aya varan ödeme seçenekleri sunulur. Kesin kâr payı oranı başvuru değerlendirmesinin ardından belirlenir.",ihtiyac_finansmani,orta,synthetic
"Özel hastane, diş tedavisi ve planlı sağlık hizmetlerinden kaynaklanan giderleriniz için bireysel ödeme çözümümüzden yararlanabilirsiniz. 120.000 TL'ye kadar olan ihtiyaçlar 3 ila 18 ay arasında taksitlendirilebilir. Başvurular mobil uygulama veya şubeler aracılığıyla yapılabilir.",ihtiyac_finansmani,orta,synthetic
"Yeni ev kurarken ihtiyaç duyduğunuz koltuk takımı, yatak odası ve yemek odası ürünlerinin alımı için destek sağlanmaktadır. 250.000 TL'ye kadar kullanım tutarı 24 aya kadar vadelendirilebilir. Kampanya bireysel müşteriler için Eylül ayı sonuna kadar geçerlidir.",ihtiyac_finansmani,orta,synthetic
"Düğün salonu, organizasyon, gelinlik ve ev hazırlıkları gibi masraflarınız için tek bir ödeme planı oluşturabilirsiniz. 300.000 TL'ye kadar finansman imkânında %2,29'dan başlayan kâr payı oranları uygulanmaktadır. 12, 24 ve 36 aylık vade seçenekleri mevcuttur.",ihtiyac_finansmani,orta,synthetic
"Buzdolabı, çamaşır makinesi ve fırın gibi temel ev eşyalarını yenilemeyi düşünüyorsanız 150.000 TL'ye kadar destekten yararlanabilirsiniz. Ödemelerinizi 6 aydan 24 aya kadar yayabilirsiniz. 5 Eylül 2026 tarihinden sonra yapılan başvurular mobil kanaldan da takip edilebilir.",ihtiyac_finansmani,orta,synthetic
Yurt dışı dil eğitimi veya mesleki gelişim programına katılacak bireysel müşteriler için özel finansman koşulları hazırlandı. Eğitim bedelinin uygun bulunan kısmı için 400.000 TL'ye kadar destek sağlanabilir. 36 aya kadar vadelerde oranlar kullanım tutarına göre değişmektedir.,ihtiyac_finansmani,orta,synthetic
"Evinizin yaşam alanlarını yenilerken dekorasyon, kapı, zemin ve mutfak dolabı giderlerinizi tek plan altında karşılayabilirsiniz. 275.000 TL tutarındaki finansman ihtiyacı 12, 24 veya 36 ay vadeyle değerlendirilebilir. Şubeden tamamlanacak başvuru için harcamaya ilişkin belgeler talep edilebilir.",ihtiyac_finansmani,orta,synthetic
Planlı bir ameliyat veya uzun süreli tedavi nedeniyle oluşabilecek yüksek tutarlı harcamalar için ödeme desteği sunulmaktadır. 500.000 TL'ye kadar kullanım imkânında azami vade 36 aydır. Kâr payı oranı müşteri değerlendirmesine göre belirlenmektedir.,ihtiyac_finansmani,orta,synthetic
"Yeni evlenecek müşteriler, düğün ve ev kurma sürecindeki farklı masraflarını aynı finansman çözümü kapsamında planlayabilir. 225.000 TL'ye kadar olan taleplerde 6 ila 24 ay arasında farklı ödeme dönemleri seçilebilir. Başvurular 1 Ekim 2026'ya kadar internet üzerinden başlatılabilir.",ihtiyac_finansmani,orta,synthetic
"Çocuğunuzun özel okul kayıt ücreti ve dönem boyunca oluşacak eğitim giderleri için 180.000 TL'ye kadar ödeme desteği sağlanabilir. %2,12 kâr payı oranıyla 18 aya kadar planlama yapılmaktadır. Mevcut müşteriler başvurularını mobil uygulamadan iletebilir.",ihtiyac_finansmani,orta,synthetic
"Yeni taşındığınız evin eksiklerini tamamlamak için mobilya, küçük ev aletleri ve beyaz eşya harcamalarınızı birlikte planlayabilirsiniz. 25.000 TL'den başlayan ve 200.000 TL'ye ulaşan taleplerde 3 ila 24 aylık seçenekler sunulur. Nihai ödeme tablosu şubede oluşturulmaktadır.",ihtiyac_finansmani,orta,synthetic
"Banyonuzu yenilemek, evin elektrik tesisatını değiştirmek ve eskiyen pencereleri elden geçirmek istiyorsanız masrafları tek seferde karşılamak zorunda değilsiniz. 320.000 TL'ye kadar tutar için 36 aya yayılan bir ödeme programı oluşturulabilir. Kampanya Aralık ayının ilk haftasına kadar bireysel müşterilere açıktır.",ihtiyac_finansmani,zor,synthetic
"Yeni eğitim döneminde okul kaydı, servis ve eğitim materyali giderlerinizi bütçenize göre zamana yayabilirsiniz. 90.000 TL'ye kadar olan tutarlarda 6, 9 veya 12 aylık ödeme seçenekleri bulunmaktadır. İşlemler mobil kanaldan başlatılabilir.",ihtiyac_finansmani,zor,synthetic
Uzun süredir planladığınız diş tedavisini ertelemek yerine giderlerinizi düzenli aylık ödemelere bölebilirsiniz. 125.000 TL'ye kadar ihtiyaçlarda 18 aya varan plan seçenekleri sunulmaktadır. Başvurunun sonuçlanması için sağlık hizmetine ilişkin belge istenebilir.,ihtiyac_finansmani,zor,synthetic
"Evinize yeni bir salon takımı, yatak ve yemek masası almak için birikiminizin tamamını kullanmanız gerekmiyor. Seçili alışverişlerde 175.000 TL'ye kadar kalan bedel 24 aya kadar düzenli ödemelere bölünebilir. Başvuru için şubelerimizden bilgi alabilirsiniz.",ihtiyac_finansmani,zor,synthetic
"Nikâh, organizasyon, fotoğraf çekimi ve yeni evin eksikleri aynı dönemde bütçenizde yük oluşturabilir. Bu harcamalar için 350.000 TL'ye kadar tutar 12 ila 36 aya yayılan ödeme planıyla karşılanabilir. Eylül ayı sonuna kadar yapılan başvurularda farklı oran seçenekleri sunulacaktır.",ihtiyac_finansmani,zor,synthetic
"Eskiyen buzdolabınızı ve çamaşır makinenizi yenilerken mutfağınız için gerekli diğer ürünleri de aynı plan kapsamında satın alabilirsiniz. Toplam 110.000 TL'ye kadar harcama 3, 6, 12 veya 18 aylık dönemlere bölünebilir. Ön değerlendirme internet şubesinden yapılmaktadır.",ihtiyac_finansmani,zor,synthetic
"Mesleki sertifika programı, sınav hazırlık kursu ve eğitim materyalleri için oluşan giderlerinizi tek ödeme yerine zamana yayabilirsiniz. 60.000 TL ile 160.000 TL arasındaki tutarlar için 6 ila 24 aylık planlar oluşturulur. Koşullar 20 Ağustos 2026 tarihinden itibaren geçerlidir.",ihtiyac_finansmani,zor,synthetic
"Çatı onarımı, ısı yalıtımı ve mutfak yenilemesi gibi evinizi daha kullanışlı hâle getirecek işler için bütçe desteğinden yararlanabilirsiniz. 450.000 TL'ye kadar tutar 36 aya yayılarak ödenebilir. Kesin oran ve aylık ödeme miktarı değerlendirme sonrasında açıklanır.",ihtiyac_finansmani,zor,synthetic
"Beklenmedik bir sağlık gideri ortaya çıktığında tüm tutarı aynı anda ödemeniz gerekmeyebilir. Tedavi, tetkik ve hastane masrafları için 200.000 TL'ye kadar ödeme kolaylığı sağlanarak 3 ila 24 aylık bir plan hazırlanabilir. Başvuru mobil uygulamadan başlatılıp şubede tamamlanabilir.",ihtiyac_finansmani,zor,synthetic
"Yeni bir yaşam düzeni kurarken koltuktan beyaz eşyaya, perdeden küçük ev aletlerine kadar pek çok kalem aynı anda masraf oluşturabilir. Uygun bulunan alışveriş bedelinin 300.000 TL'ye kadar olan bölümü için 6 ila 30 aylık ödeme takvimi hazırlanabilir. Bu imkândan yararlanmak isteyen bireysel müşteriler 15 Kasım 2026'ya kadar şubeye başvurabilir.",ihtiyac_finansmani,zor,synthetic
"Birikimlerinizi katılım bankacılığı prensiplerine uygun şekilde değerlendirmek için TL katılma hesabı açabilirsiniz. 1 ay, 3 ay, 6 ay ve 1 yıl vade seçenekleri arasından tercih yapabilir, dönem sonunda oluşan kâr payından yararlanabilirsiniz.",katilma_hesabi,kolay,synthetic
Tasarruflarınızı kâr-zarar ortaklığı esasına göre değerlendirebileceğiniz hesap seçeneğimizle birikimlerinizi farklı vadelerde yönetebilirsiniz. Hesap açılışı 10.000 TL'den başlamakta olup 3 ve 6 aylık vade alternatifleri sunulmaktadır.,katilma_hesabi,kolay,synthetic
Dolar birikimlerinizi değerlendirmek için yabancı para katılma hesabı seçeneğinden yararlanabilirsiniz. 1 ay ile 1 yıl arasında değişen vadelerde hesap açabilir ve gerçekleşen kâr payına ortak olabilirsiniz.,katilma_hesabi,kolay,synthetic
Altın birikimlerinizi atıl bırakmadan katılım bankacılığı esaslarına uygun bir hesapta değerlendirebilirsiniz. 3 ay ve 6 ay vadeli seçeneklerde dönem sonunda oluşan getiri kâr paylaşımı esasına göre hesabınıza yansıtılır.,katilma_hesabi,kolay,synthetic
"Euro cinsinden tasarruflarını değerlendirmek isteyen müşterilere farklı vadelerde katılma hesabı seçenekleri sunulmaktadır. Minimum 1.000 euro ile açılabilen hesaplarda 1 ay, 3 ay ve 1 yıl vadeler tercih edilebilir.",katilma_hesabi,kolay,synthetic
"Bireysel müşteriler, TL birikimlerini 6 aya kadar vadeli katılma hesabında değerlendirebilir. Hesabın getirisi önceden sabitlenmez; dönem sonunda oluşan kâr veya zarar paylaşım esaslarına göre yansıtılır.",katilma_hesabi,kolay,synthetic
"Uzun vadeli tasarruf hedefleriniz için birikimlerinizi 3 ay, 6 ay veya 1 yıl süreyle değerlendirebilirsiniz. TL hesap açılışlarında minimum 5.000 TL şartı bulunurken, kâr payı vade sonunda gerçekleşen sonuca göre belirlenir.",katilma_hesabi,orta,synthetic
"Döviz birikimlerinizi günlük harcamalardan ayırarak belirli bir süre değerlendirmek istiyorsanız dolar ve euro bazlı hesap alternatiflerinden yararlanabilirsiniz. 1 ve 3 aylık vadelerde elde edilen sonuç, katılım bankacılığına özgü kâr-zarar paylaşımı prensibine göre hesabınıza aktarılır.",katilma_hesabi,orta,synthetic
"Tasarruflarını düzenli biçimde değerlendirmek isteyen müşteriler için kısa ve uzun vadeli hesap seçenekleri sunulmaktadır. 25.000 TL ve üzerindeki birikimler 1 ay, 6 ay veya 1 yıl süreyle değerlendirmeye alınabilir. Vade sonunda dağıtılacak tutar gerçekleşen kâr payına göre hesaplanır.",katilma_hesabi,orta,synthetic
Altınlarını fiziki olarak saklamak yerine hesap üzerinden değerlendirmeyi tercih eden müşteriler için vadeli bir tasarruf alternatifi sunuyoruz. Birikimler gram altın cinsinden izlenirken 3 veya 6 aylık dönemlerde oluşan kâr paylaşımına katılım sağlanır.,katilma_hesabi,orta,synthetic
Mevcut TL birikiminizi belirli bir vadeye bağlayarak katılım bankacılığı prensipleri çerçevesinde değerlendirebilirsiniz. 10.000 TL'den başlayan hesaplarda 3 ay ve 1 yıl vade seçenekleri mevcuttur. Getiri oranı sabit olmayıp vade sonunda gerçekleşen performansa göre belirlenmektedir.,katilma_hesabi,orta,synthetic
"Yeni müşterilere özel olarak dolar ve euro cinsinden birikim hesabı seçenekleri sunulmaktadır. Minimum açılış tutarı 500 dolar veya 500 euro olup hesaplar 1, 3 ve 6 aylık sürelerle açılabilir. Kâr payı dağıtımı ilgili dönemin gerçekleşen sonucuna göre yapılır.",katilma_hesabi,orta,synthetic
"Kısa vadede kullanmayı planlamadığınız tasarruflarınızı farklı sürelerde değerlendirebilir, vade sonunda elde edilen sonuca ortak olabilirsiniz. 50.000 TL ve üzerindeki tutarlarda 1 ay ile 1 yıl arasında değişen seçenekler sunulmaktadır. İşleyiş kâr-zarar paylaşımı esasına dayanır.",katilma_hesabi,orta,synthetic
"Birikimlerini tek para birimiyle sınırlamak istemeyen müşteriler TL, dolar, euro ve altın bazlı hesap seçeneklerinden yararlanabilir. Seçilen para birimine göre minimum açılış tutarı ve vade alternatifleri değişiklik gösterebilir. Dönemsel getiri, önceden taahhüt edilen sabit bir faiz yerine gerçekleşen kâr payı üzerinden oluşur.",katilma_hesabi,orta,synthetic
Tasarruflarınızı geleneksel vadeli mevduattan farklı bir yapıda değerlendirmek isteyenler için kâr ve zarara katılım esaslı bir hesap alternatifi sunulmaktadır. 3 ay veya 6 ay boyunca hesapta tutulan TL bakiyeler için dönem sonunda gerçekleşen sonuç paylaşılır. Önceden kesin bir getiri oranı taahhüt edilmez.,katilma_hesabi,zor,synthetic
Bir süre kullanmayacağınız 100.000 TL'lik birikiminizi günlük hesaptan ayırarak 1 yıl süreyle değerlendirebilirsiniz. Dönem sonunda hesabınıza yansıyacak tutar baştan sabitlenmez ve bankanın ilgili havuzunda oluşan sonuca göre belirlenir.,katilma_hesabi,zor,synthetic
