metin,kategori,kaynak,zorluk
"Yeni aracınızı avantajlı ödeme seçenekleriyle satın alın. 1,5 milyon TL'ye kadar taşıt finansmanı 60 aya varan vadelerle sunulmaktadır. Bireysel müşteriler başvurularını mobil uygulamadan gerçekleştirebilir.",tasit_finansmani,synthetic,kolay
"Aileniz için daha geniş bir eve geçmeyi planlıyorsanız, uygun ödeme planlarıyla satın alma sürecinizi destekleyebilirsiniz. 5 milyon TL'ye kadar finansman, 120 aya kadar vade ve %2,05'ten başlayan kâr payı seçenekleri sunulmaktadır. Kampanya Ağustos sonuna kadar bireysel müşteriler için geçerlidir.",konut_finansmani,synthetic,orta
"Evinize yeni bir salon takımı, yatak ve yemek masası almak için birikiminizin tamamını kullanmanız gerekmiyor. Seçili alışverişlerde 175.000 TL'ye kadar kalan bedel 24 aya kadar düzenli ödemelere bölünebilir. Başvuru için şubelerimizden bilgi alabilirsiniz.",ihtiyac_finansmani,synthetic,zor
İkinci el konut alımlarında da kullanılabilen finansman kampanyası.,konut_finansmani,real,belirsiz
Elinizdeki gram altınları belirli bir süre kullanmayı düşünmüyorsanız 6 aylık değerlendirme seçeneğini tercih edebilirsiniz. Dönem sonunda elde edilen sonuç hesabınıza paylaştırılır; klasik faizli ürünlerde olduğu gibi önceden kesinleştirilmiş bir kazanç bulunmaz.,katilma_hesabi,synthetic,zor
"Bireysel müşterilere yönelik yeni araç kampanyasında 1,5 milyon TL'ye kadar finansal destek sağlanmaktadır. 60 aya varan ödeme süresi ve %2,25'ten başlayan kâr payı oranları araç modeline ve finansman tutarına göre değişebilir. Detaylı koşullar şubelerden öğrenilebilir.",tasit_finansmani,synthetic,orta
"Yeni müşteriler, seçili konut alımlarında 3.000.000 TL'ye kadar finansman kullanabilir. %1,95 kâr payı oranıyla sunulan kampanyada azami vade 120 aydır. Başvurular 1 Haziran 2026'dan itibaren şubelerden alınacaktır.",konut_finansmani,synthetic,kolay
Katılma hesabında minimum açılış tutarı 10.000 TL'dir.,katilma_hesabi,real,belirsiz
Sıfır kilometre araç alacak müşterilere özel taşıt finansmanı kampanyamız Eylül ayı sonuna kadar devam ediyor. 950.000 TL finansman için 24 veya 36 ay vade seçenekleri sunulmaktadır. Başvurunuzu internet bankacılığı üzerinden başlatabilirsiniz.,tasit_finansmani,synthetic,kolay
Mevcut müşterilerimizin sıfır veya ikinci el daire alımlarında kullanabileceği finansman paketi yenilendi. 2.500.000 TL'ye kadar olan taleplerde 84 aya varan vade uygulanırken kâr payı oranı müşterinin tercih ettiği ödeme planına göre belirlenmektedir. Ön başvurular mobil uygulamadan yapılabilir.,konut_finansmani,synthetic,orta
"Nikâh, organizasyon, fotoğraf çekimi ve yeni evin eksikleri aynı dönemde bütçenizde yük oluşturabilir. Bu harcamalar için 350.000 TL'ye kadar tutar 12 ila 36 aya yayılan ödeme planıyla karşılanabilir. Eylül ayı sonuna kadar yapılan başvurularda farklı oran seçenekleri sunulacaktır.",ihtiyac_finansmani,synthetic,zor
Tasarruflarınızı kâr-zarar ortaklığı esasına göre değerlendirebileceğiniz hesap seçeneğimizle birikimlerinizi farklı vadelerde yönetebilirsiniz. Hesap açılışı 10.000 TL'den başlamakta olup 3 ve 6 aylık vade alternatifleri sunulmaktadır.,katilma_hesabi,synthetic,kolay
Taşıt finansmanı başvurunuzu mobil uygulama üzerinden yapabilirsiniz.,tasit_finansmani,real,belirsiz
Belirli üye işyerlerinde kart kullanıcılarına bonus TL.,kredi_karti,real,belirsiz
Temassız kart ödemelerinde hafta sonuna özel cashback kampanyası.,kredi_karti,real,belirsiz
Kira ödemek yerine kendi eviniz için düzenli ödeme yapmak isteyen müşterilerimize uzun vadeli bir satın alma çözümü sunuyoruz. Ekspertiz değeri uygun bulunan dairelerde 5 milyon TL'ye kadar destek sağlanabilir. 120 aya kadar oluşturulabilen ödeme planlarında oranlar müşteri profiline ve finansman tutarına göre değişmektedir.,konut_finansmani,synthetic,zor
"Sabit getiri beklentisi yerine ticari faaliyetlerden doğan sonuca ortak olmayı tercih eden müşteriler için farklı vadelerde tasarruf seçeneği bulunmaktadır. Euro bazında açılabilen hesaplarda minimum 2.000 euro ile 3 veya 6 aylık dönem seçilebilir. Vade bitiminde oluşan pay, ilgili dönemin gerçekleşen sonucuna bağlıdır.",katilma_hesabi,synthetic,zor
"Mobilya ve beyaz eşya alışverişlerinize yönelik 100.000 TL'ye kadar ihtiyaç finansmanı fırsatından yararlanın. %2,19'dan başlayan kâr payı oranlarıyla 18 aya kadar ödeme planı oluşturabilirsiniz.",ihtiyac_finansmani,synthetic,kolay
"Euro cinsinden tasarruflarını değerlendirmek isteyen müşterilere farklı vadelerde katılma hesabı seçenekleri sunulmaktadır. Minimum 1.000 euro ile açılabilen hesaplarda 1 ay, 3 ay ve 1 yıl vadeler tercih edilebilir.",katilma_hesabi,synthetic,kolay
"Uzun vadeli tasarruf hedefleriniz için birikimlerinizi 3 ay, 6 ay veya 1 yıl süreyle değerlendirebilirsiniz. TL hesap açılışlarında minimum 5.000 TL şartı bulunurken, kâr payı vade sonunda gerçekleşen sonuca göre belirlenir.",katilma_hesabi,synthetic,orta
"Uzun vadede varlıklarını çeşitlendirmek isteyen müşteriler için altın, döviz, sukuk ve katılım fonlarının yer aldığı farklı ürün seçenekleri bulunmaktadır. Tek bir varlık grubuna yoğunlaşmak yerine risk tercihinize uygun bir portföy dağılımı oluşturabilirsiniz. Güncel değerler internet bankacılığından takip edilebilir.",yatirim,synthetic,orta
"Ailenizin ihtiyaçlarına uygun yeni bir yaşam alanı seçtiğinizde, satış bedelinin belirli bir bölümü için bankamızdan destek alabilirsiniz. Tapu ve ekspertiz süreçlerinin tamamlanmasının ardından 60 aydan 120 aya kadar farklı ödeme seçenekleri oluşturulur. Kampanya bireysel müşteriler için Ağustos sonuna kadar geçerlidir.",konut_finansmani,synthetic,zor
"Mevcut dairesini satarak daha yüksek değerli bir eve geçmek isteyen müşterilere özel bir finansal çözüm sunulmaktadır. Yeni taşınmazın değeri dikkate alınarak 5 milyon TL'ye kadar kullanım imkânı sağlanabilir ve 120 aylık ödeme planı tercih edilebilir. %2,09'dan başlayan oranlar başvuru değerlendirmesi sonrasında kesinleşir.",konut_finansmani,synthetic,zor
"Müşterilerimiz, hesaplarında yeterli bakiye bulunması halinde düzenli ödeme talimatları oluşturabilir. Kira, aidat veya benzeri periyodik ödemeler belirlenen tarihlerde otomatik olarak gönderilebilir. Talimatın oluşturulması katılma hesabı açılışı ya da yeni bir yatırım ürünü anlamına gelmez.",diger,synthetic,zor
Altın birikimlerinizi yatırım hesabında değerlendirin.,yatirim,real,belirsiz
Sağlık harcamalarında kullanılabilecek ihtiyaç finansmanı.,ihtiyac_finansmani,real,belirsiz
"Yeni eğitim döneminde okul kaydı, servis ve eğitim materyali giderlerinizi bütçenize göre zamana yayabilirsiniz. 90.000 TL'ye kadar olan tutarlarda 6, 9 veya 12 aylık ödeme seçenekleri bulunmaktadır. İşlemler mobil kanaldan başlatılabilir.",ihtiyac_finansmani,synthetic,zor
Ev tadilatı yapan ustaya veya tedarikçiye ödeme göndermek için kayıtlı alıcı özelliğinden yararlanabilirsiniz. Daha önce kaydettiğiniz IBAN'a yapılacak transferlerde bilgiler otomatik olarak getirilebilir. Banka bu işlem kapsamında tadilat giderleri için ek kaynak sağlamaz.,diger,synthetic,zor
Yatırım hesabı sahiplerine özel fon kampanyası.,yatirim,real,belirsiz
Yatırım hesabı açarak altın ve fon işlemlerinizi gerçekleştirin.,yatirim,real,belirsiz
"Kısa vadede kullanmayı planlamadığınız tasarruflarınızı farklı sürelerde değerlendirebilir, vade sonunda elde edilen sonuca ortak olabilirsiniz. 50.000 TL ve üzerindeki tutarlarda 1 ay ile 1 yıl arasında değişen seçenekler sunulmaktadır. İşleyiş kâr-zarar paylaşımı esasına dayanır.",katilma_hesabi,synthetic,orta
"İkinci el aracınızı seçin, ödeme planınızı bütçenize göre oluşturun. 500.000 TL'ye kadar taşıt finansmanı %2,19'dan başlayan kâr payı oranları ve 36 aya varan vade ile sunulmaktadır.",tasit_finansmani,synthetic,kolay
"Buzdolabı, çamaşır makinesi ve fırın gibi temel ev eşyalarını yenilemeyi düşünüyorsanız 150.000 TL'ye kadar destekten yararlanabilirsiniz. Ödemelerinizi 6 aydan 24 aya kadar yayabilirsiniz. 5 Eylül 2026 tarihinden sonra yapılan başvurular mobil kanaldan da takip edilebilir.",ihtiyac_finansmani,synthetic,orta
Müşteri hizmetleri kanalımız üzerinden hesap işlemleri ve dijital bankacılık kullanımı hakkında destek alabilirsiniz. Temsilcilerimize haftanın her günü belirtilen hizmet saatleri içinde ulaşabilirsiniz.,diger,synthetic,kolay
50.000 TL'ye kadar bireysel ihtiyaç finansmanı.,ihtiyac_finansmani,real,belirsiz
"Eskiyen buzdolabınızı ve çamaşır makinenizi yenilerken mutfağınız için gerekli diğer ürünleri de aynı plan kapsamında satın alabilirsiniz. Toplam 110.000 TL'ye kadar harcama 3, 6, 12 veya 18 aylık dönemlere bölünebilir. Ön değerlendirme internet şubesinden yapılmaktadır.",ihtiyac_finansmani,synthetic,zor
Planlı bir ameliyat veya uzun süreli tedavi nedeniyle oluşabilecek yüksek tutarlı harcamalar için ödeme desteği sunulmaktadır. 500.000 TL'ye kadar kullanım imkânında azami vade 36 aydır. Kâr payı oranı müşteri değerlendirmesine göre belirlenmektedir.,ihtiyac_finansmani,synthetic,orta
"İkinci el daire alımlarına yönelik yeni kampanyada 4.250.000 TL'ye kadar finansman imkânı sağlanmaktadır. Müşteriler 48, 72 veya 120 aylık ödeme planlarından kendilerine uygun olanı seçebilir. Ekspertiz işleminin ardından kesin finansman tutarı ve kâr payı oranı bildirilmektedir.",konut_finansmani,synthetic,orta
Altınlarını fiziki olarak saklamak yerine hesap üzerinden değerlendirmeyi tercih eden müşteriler için vadeli bir tasarruf alternatifi sunuyoruz. Birikimler gram altın cinsinden izlenirken 3 veya 6 aylık dönemlerde oluşan kâr paylaşımına katılım sağlanır.,katilma_hesabi,synthetic,orta
Galeriden seçtiğiniz ikinci el otomobil için satış işlemi tamamlanmadan önce finansal değerlendirme başlatabilirsiniz. Aracın yaşı uygun olduğunda 300.000 TL ile 950.000 TL arasındaki ihtiyaçlar 36 aya kadar taksitlendirilebilir. Eylül ayı sonuna kadar yapılan başvurularda işlem masrafına yönelik indirim uygulanabilir.,tasit_finansmani,synthetic,zor
"ATM'lerimizden para çekme, para yatırma ve hesap bakiyesi görüntüleme işlemleri yapılabilmektedir. Size en yakın ATM'nin konumuna mobil uygulamamız üzerinden ulaşabilirsiniz.",diger,synthetic,kolay
"Mevcut aracını değiştirmek isteyen müşteriler, yeni seçtikleri otomobilin satış bedeline göre ek ödeme desteğinden yararlanabilir. Sıfır kilometre modellerde 60 aya, ikinci el seçeneklerde ise 36 aya kadar planlama yapılabilir. 5 Mayıs 2026'dan sonra mobil kanaldan yapılan başvurular da değerlendirmeye alınacaktır.",tasit_finansmani,synthetic,zor
"Katılım esaslarına uygun ürünlerle birikimini büyütmek isteyen müşteriler, doğrudan fon payı veya sukuk edinerek farklı piyasa araçlarına erişebilir. Burada tutar bir tasarruf hesabına yatırılmak yerine seçilen sermaye piyasası aracının satın alınmasında kullanılır. Risk seviyesi ve beklenen yatırım süresi ürün tercihi yapılırken dikkate alınmalıdır.",yatirim,synthetic,zor
"İşletmenizin ulaşım ihtiyacı için satın alacağınız hafif ticari modellerde peşin ödemenin dışında kalan bölüm taksitlendirilebilir. 1,5 milyon TL'ye kadar tutarlarda 24, 36 veya 48 aylık ödeme alternatifleri sunulmaktadır. Kesin koşullar aracın bedeli ve müşteri değerlendirmesine göre oluşturulur.",tasit_finansmani,synthetic,zor
"Katılma hesabınızın vadesini 1 ay, 3 ay veya 6 ay seçebilirsiniz.",katilma_hesabi,real,belirsiz
Araba alacak bireysel müşterilere 36 ay vadeli finansman fırsatı.,tasit_finansmani,real,belirsiz
Bireysel ihtiyaçlarınız için 24 aya kadar finansman desteği.,ihtiyac_finansmani,real,belirsiz
"Çocuğunuzun özel okul kayıt ücreti ve dönem boyunca oluşacak eğitim giderleri için 180.000 TL'ye kadar ödeme desteği sağlanabilir. %2,12 kâr payı oranıyla 18 aya kadar planlama yapılmaktadır. Mevcut müşteriler başvurularını mobil uygulamadan iletebilir.",ihtiyac_finansmani,synthetic,orta
Satın almak istediğiniz daire için uzun vadeli finansman seçeneklerinden yararlanın.,konut_finansmani,real,belirsiz
"Döviz hesabınıza gelen uluslararası transferleri internet bankacılığı üzerinden görüntüleyebilirsiniz. Gönderici banka, işlem tarihi ve gelen tutar bilgileri hesap hareketlerinde yer alır. Bu hizmet döviz alım satımı veya yatırım ürünü edinilmesine yönelik değildir.",diger,synthetic,zor
"İşiniz için yeni bir hafif ticari araç almayı planlıyorsanız, 60 aya kadar vadeli finansman seçeneklerimizi değerlendirebilirsiniz. 300.000 TL ile 1.250.000 TL arasındaki taleplerde ödeme planı kullanım tutarına göre belirlenir. Kampanya 5 Mayıs 2026 itibarıyla geçerlidir.",tasit_finansmani,synthetic,orta
"Bireysel müşteriler, TL birikimlerini 6 aya kadar vadeli katılma hesabında değerlendirebilir. Hesabın getirisi önceden sabitlenmez; dönem sonunda oluşan kâr veya zarar paylaşım esaslarına göre yansıtılır.",katilma_hesabi,synthetic,kolay
Uzun vadeli birikimler için katılma hesabı fırsatı.,katilma_hesabi,real,belirsiz
"Mesleki sertifika programı, sınav hazırlık kursu ve eğitim materyalleri için oluşan giderlerinizi tek ödeme yerine zamana yayabilirsiniz. 60.000 TL ile 160.000 TL arasındaki tutarlar için 6 ila 24 aylık planlar oluşturulur. Koşullar 20 Ağustos 2026 tarihinden itibaren geçerlidir.",ihtiyac_finansmani,synthetic,zor
Yabancı para varlıklarını çeşitlendirmek isteyen bireysel müşteriler dolar ve euro işlemlerini yatırım hesabı üzerinden gerçekleştirebilir. Kur hareketlerine bağlı olarak değer kazancı veya kaybı oluşabileceğinden ürünlerin piyasa riski taşıdığı dikkate alınmalıdır. İşlemler mobil ve internet kanallarından yapılabilir.,yatirim,synthetic,orta
Kira sertifikası yatırımı ile portföyünüzü çeşitlendirin.,yatirim,real,belirsiz
"Yeni evlenecek müşteriler, düğün ve ev kurma sürecindeki farklı masraflarını aynı finansman çözümü kapsamında planlayabilir. 225.000 TL'ye kadar olan taleplerde 6 ila 24 ay arasında farklı ödeme dönemleri seçilebilir. Başvurular 1 Ekim 2026'ya kadar internet üzerinden başlatılabilir.",ihtiyac_finansmani,synthetic,orta
"Düğün salonu, organizasyon, gelinlik ve ev hazırlıkları gibi masraflarınız için tek bir ödeme planı oluşturabilirsiniz. 300.000 TL'ye kadar finansman imkânında %2,29'dan başlayan kâr payı oranları uygulanmaktadır. 12, 24 ve 36 aylık vade seçenekleri mevcuttur.",ihtiyac_finansmani,synthetic,orta
Döviz katılma hesabı ile tasarruflarınızı değerlendirin.,katilma_hesabi,real,belirsiz
"Tasarruflarını düzenli biçimde değerlendirmek isteyen müşteriler için kısa ve uzun vadeli hesap seçenekleri sunulmaktadır. 25.000 TL ve üzerindeki birikimler 1 ay, 6 ay veya 1 yıl süreyle değerlendirmeye alınabilir. Vade sonunda dağıtılacak tutar gerçekleşen kâr payına göre hesaplanır.",katilma_hesabi,synthetic,orta
"Seçtiğiniz aracın satış bedeli ile mevcut birikiminiz arasındaki fark için bankamızdan ödeme desteği alabilirsiniz. Sıfır otomobillerde 1,5 milyon TL'ye kadar, uygun ikinci el araçlarda ise 950.000 TL'ye kadar kullanım imkânı bulunmaktadır. Vade 12 ile 60 ay arasında belirlenirken ödeme koşulları araç türüne göre farklılaşabilir.",tasit_finansmani,synthetic,zor
"Özel hastane, diş tedavisi ve planlı sağlık hizmetlerinden kaynaklanan giderleriniz için bireysel ödeme çözümümüzden yararlanabilirsiniz. 120.000 TL'ye kadar olan ihtiyaçlar 3 ila 18 ay arasında taksitlendirilebilir. Başvurular mobil uygulama veya şubeler aracılığıyla yapılabilir.",ihtiyac_finansmani,synthetic,orta
Yeni müşterilere özel katılma hesabı kampanyası.,katilma_hesabi,real,belirsiz
"Yeni tamamlanmış bir projeden daire satın almak isteyenlere, peşinat sonrasında kalan tutarın uygun kısmı için taksitlendirme imkânı sunulmaktadır. 2.500.000 TL tutarındaki kullanımda 84 aya kadar ödeme planı seçilebilir. Başvuru için satın alınacak taşınmaza ilişkin belgelerin şubeye iletilmesi yeterlidir.",konut_finansmani,synthetic,zor
Vadeli hesap yerine katılım esaslı birikim hesabından yararlanın.,katilma_hesabi,real,belirsiz
Sağlık kuruluşuna yapacağınız ödemenin doğrudan banka hesabınızdan gönderilmesi için FAST veya EFT kullanabilirsiniz. İşlemin açıklama alanına hasta veya hizmet bilgisini eklemeniz mümkündür. Bu özellik tedavi masraflarına yönelik bir finansman paketi sunmaz.,diger,synthetic,zor
İşletmenize ait araçların akaryakıt ve bakım ödemelerinin takibini kolaylaştırmak için hesap hareketleri raporlama ekranımızı kullanabilirsiniz. Belirli açıklamalara sahip işlemler filtrelenerek raporlanabilir. Hizmet araç satın alımı için kaynak sağlamaz.,diger,synthetic,zor
"Ticari araç sahibi olmak isteyen müşteriler için 1,5 milyon TL'ye kadar finansman desteği sağlanmaktadır. 60 aya kadar vade seçenekleri bulunan kampanyaya şubelerimizden başvurabilirsiniz.",tasit_finansmani,synthetic,kolay
Altın birikimini yalnızca hesapta tutmak yerine fiyat hareketlerinden faydalanmak isteyen müşteriler düzenli alım talimatı verebilir. Belirlenen tutarda gram altın alımı yapılarak portföy zaman içinde büyütülebilir. Alım ve satış fiyatları piyasa koşullarına göre anlık olarak değişmektedir.,yatirim,synthetic,orta
Goldmaster Kart sahiplerine 3 ay boyunca alışveriş çeki.,kredi_karti,real,belirsiz
"Kart bilgilerinizi internet alışverişlerinde korumak için dijital güvenlik ayarlarınızı mobil uygulamadan yönetebilirsiniz. İnternetten işlem yetkisini geçici olarak kapatabilir veya yeniden açabilirsiniz. Duyuru herhangi bir indirim, puan ya da kredi kartı harcama kampanyası içermemektedir.",diger,synthetic,zor
"İlk evini almak isteyen bireysel müşterilere özel konut finansmanı fırsatıyla 2.500.000 TL'ye kadar finansman kullanabilirsiniz. %1,79 kâr payı oranı ve 120 aya varan vade seçeneklerinden yararlanmak için 15 Nisan 2026 tarihine kadar şubelerimize başvurabilirsiniz.",konut_finansmani,synthetic,kolay
Kredi kartı sahiplerine 5.000 TL alışveriş çeki kampanyası.,kredi_karti,real,belirsiz
Mevcut TL birikiminizi belirli bir vadeye bağlayarak katılım bankacılığı prensipleri çerçevesinde değerlendirebilirsiniz. 10.000 TL'den başlayan hesaplarda 3 ay ve 1 yıl vade seçenekleri mevcuttur. Getiri oranı sabit olmayıp vade sonunda gerçekleşen performansa göre belirlenmektedir.,katilma_hesabi,synthetic,orta
"Eğitim giderlerinizi ertelemeden karşılayabilmeniz için 150.000 TL'ye kadar ihtiyaç finansmanı sunuyoruz. %2,05 kâr payı oranı ve 24 aya varan vade seçeneklerinden yararlanabilirsiniz. Başvurular mobil uygulama üzerinden yapılabilir.",ihtiyac_finansmani,synthetic,kolay
Otomobil kampanyasında tahsis ücreti alınmadan taşıt finansmanı.,tasit_finansmani,real,belirsiz
Altın fonu ile birikimlerinizi değerlendirebilirsiniz.,yatirim,real,belirsiz
Okul veya kurs ücretinin kurum hesabına gönderilmesi için mobil bankacılıktan para transferi talimatı verebilirsiniz. Alıcının IBAN bilgisi ve gönderilecek tutar onay öncesinde kontrol edilir. İşlem eğitim giderlerini finanse eden ayrı bir ürün değildir.,diger,synthetic,zor
"Katılım hisse senetlerine ve faizsiz sermaye piyasası araçlarına yönelen fonumuz, uzun vadeli değer artışı hedefleyen yatırımcılara yöneliktir. Fonun risk seviyesi yüksek olup getirisi piyasa hareketlerine bağlı olarak değişebilir. Alım talimatları internet bankacılığından iletilebilir.",yatirim,synthetic,orta
Beklenmedik harcamalar için hızlı ihtiyaç finansmanı başvurusu.,ihtiyac_finansmani,real,belirsiz
Katılma hesabı açarak birikimlerinizi kâr paylaşımı esasına göre değerlendirin.,katilma_hesabi,real,belirsiz
"Yeni taşındığınız evin eksiklerini tamamlamak için mobilya, küçük ev aletleri ve beyaz eşya harcamalarınızı birlikte planlayabilirsiniz. 25.000 TL'den başlayan ve 200.000 TL'ye ulaşan taleplerde 3 ila 24 aylık seçenekler sunulur. Nihai ödeme tablosu şubede oluşturulmaktadır.",ihtiyac_finansmani,synthetic,orta
İkinci el araç alımında yaş kriterine göre finansman kullanabilirsiniz.,tasit_finansmani,real,belirsiz
Online alışverişlerde kartınıza 500 TL bonus yüklenecektir.,kredi_karti,real,belirsiz
"Yeni müşterilere özel olarak dolar ve euro cinsinden birikim hesabı seçenekleri sunulmaktadır. Minimum açılış tutarı 500 dolar veya 500 euro olup hesaplar 1, 3 ve 6 aylık sürelerle açılabilir. Kâr payı dağıtımı ilgili dönemin gerçekleşen sonucuna göre yapılır.",katilma_hesabi,synthetic,orta
Tasarruflarınızı geleneksel vadeli mevduattan farklı bir yapıda değerlendirmek isteyenler için kâr ve zarara katılım esaslı bir hesap alternatifi sunulmaktadır. 3 ay veya 6 ay boyunca hesapta tutulan TL bakiyeler için dönem sonunda gerçekleşen sonuç paylaşılır. Önceden kesin bir getiri oranı taahhüt edilmez.,katilma_hesabi,synthetic,zor
"Üniversite öğrenim ücreti, yabancı dil kursu veya sertifika programı gibi eğitim harcamalarınız için bütçenize uygun bir ödeme planı oluşturabilirsiniz. 25.000 TL ile 200.000 TL arasındaki talepler 6, 12 veya 18 ay vadeyle değerlendirilmektedir. Ön başvurular internet şubesinden alınmaktadır.",ihtiyac_finansmani,synthetic,orta
"Birikimlerini tek para birimiyle sınırlamak istemeyen müşteriler TL, dolar, euro ve altın bazlı hesap seçeneklerinden yararlanabilir. Seçilen para birimine göre minimum açılış tutarı ve vade alternatifleri değişiklik gösterebilir. Dönemsel getiri, önceden taahhüt edilen sabit bir faiz yerine gerçekleşen kâr payı üzerinden oluşur.",katilma_hesabi,synthetic,orta
Kartınızla market alışverişlerinde yüzde 20 indirim kazanın.,kredi_karti,real,belirsiz
"Yeni bir ev sahibi olmak isteyen müşterilerimize 5 milyon TL'ye kadar konut finansmanı desteği sunuyoruz. 60 ay vadede avantajlı ödeme seçeneklerinden yararlanabilir, başvurunuzu mobil uygulama üzerinden kolayca iletebilirsiniz.",konut_finansmani,synthetic,kolay
"Yeni ev kurarken ihtiyaç duyduğunuz koltuk takımı, yatak odası ve yemek odası ürünlerinin alımı için destek sağlanmaktadır. 250.000 TL'ye kadar kullanım tutarı 24 aya kadar vadelendirilebilir. Kampanya bireysel müşteriler için Eylül ayı sonuna kadar geçerlidir.",ihtiyac_finansmani,synthetic,orta
Bir süre kullanmayacağınız 100.000 TL'lik birikiminizi günlük hesaptan ayırarak 1 yıl süreyle değerlendirebilirsiniz. Dönem sonunda hesabınıza yansıyacak tutar baştan sabitlenmez ve bankanın ilgili havuzunda oluşan sonuca göre belirlenir.,katilma_hesabi,synthetic,zor
